@relation 'ISBSG10952Instances13AttTrain-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-6'

@attribute FunctionalSize numeric
@attribute ProjectElapsedTime numeric
@attribute DevelopmentType {Enhancement,New_Development}
@attribute DevelopmentPlatform {MF,PC,Multi,MR}
@attribute LanguageType {3GL,4GL}
@attribute MaxTeamSize numeric
@attribute Year numeric
@attribute NormalisedWorkEffortLevel1 numeric

@data
144,?,Enhancement,MF,4GL,?,2005,1346
3,3.42,Enhancement,?,3GL,?,2004,23
366,?,Enhancement,?,3GL,?,2004,7359
403,24,New_Development,?,?,8,1998,7500
49,4,Enhancement,?,?,2,1999,966
138,2,Enhancement,?,4GL,5,1999,1499
632,?,New_Development,?,3GL,?,2003,7252
201,6,New_Development,PC,4GL,1,1999,562
338,5,Enhancement,?,?,1,1998,973
83,?,Enhancement,MF,3GL,?,2002,1145
113,?,Enhancement,MF,3GL,?,2005,1192
115,3,Enhancement,MR,4GL,9,2000,2802
763,5,Enhancement,?,3GL,8,1999,4272
322,2,Enhancement,?,?,6,1997,835
1278,?,Enhancement,MF,3GL,?,2002,28441
203,3,Enhancement,MF,3GL,14,2002,5754
246,4,New_Development,?,?,3,1998,960
116,5,New_Development,MF,3GL,5,1994,2180
145,?,Enhancement,?,?,?,2002,1594
2000,15,New_Development,?,?,?,2002,29600
114,3,Enhancement,?,4GL,2,2000,678
73,8,Enhancement,MF,3GL,?,1995,1404
43,?,Enhancement,?,3GL,?,2004,3890
144,3,Enhancement,?,3GL,4,1998,426
1122,?,New_Development,?,?,?,2002,1208
43,?,Enhancement,Multi,3GL,?,2005,1042
49,2,Enhancement,MF,4GL,?,2000,500
126,3,Enhancement,?,?,5,1998,1237
199,?,Enhancement,?,3GL,?,2002,5682
79,?,Enhancement,?,3GL,?,2004,2356
100,?,Enhancement,MF,4GL,?,2005,1255
88,3.09,Enhancement,?,3GL,?,2004,1092
19,1.9,Enhancement,MR,3GL,?,2002,155
262,?,Enhancement,?,3GL,?,2004,7258
426,6,New_Development,?,?,2,1999,1680
383,5,New_Development,?,?,?,1997,5322
87,2,Enhancement,MF,4GL,?,2000,387
320,20,New_Development,?,4GL,4,1995,12180
342,?,Enhancement,Multi,3GL,?,2005,2734
116,15,Enhancement,?,?,10,1999,2630
97,4,Enhancement,MF,3GL,1,1993,530
98,4,New_Development,?,4GL,12,1999,2876
33,?,Enhancement,Multi,3GL,?,2005,270
65,4,Enhancement,PC,?,?,2000,997
88,3,Enhancement,?,?,3,1998,760
3,?,Enhancement,MF,3GL,?,2005,95
79,?,Enhancement,?,3GL,?,2004,2817
103,?,Enhancement,?,3GL,?,2004,4496
200,8,Enhancement,?,4GL,19,1999,8151
133,4,Enhancement,?,3GL,3,2000,334
52,?,Enhancement,MF,?,?,2002,741
89,2.1,Enhancement,MF,3GL,?,2001,508
522,10,New_Development,MR,3GL,?,2001,7063
85,?,Enhancement,PC,?,?,2001,846
65,?,Enhancement,MF,4GL,?,2002,1142
360,?,Enhancement,Multi,3GL,?,2005,9347
108,8.9,Enhancement,MF,3GL,2,2000,1652
189,12,New_Development,?,?,?,1997,5241
3,0.69,Enhancement,?,?,?,2004,45
227,?,Enhancement,Multi,4GL,?,2005,1009
146,8.45,Enhancement,?,3GL,?,2004,2446
25,1.81,Enhancement,?,4GL,?,2004,384
790,5,New_Development,?,?,4,1998,2909
70,?,Enhancement,?,3GL,?,2002,1480
571,8,Enhancement,?,3GL,18,1999,8996
322,20,New_Development,?,4GL,4,1995,7850
127,9.1,Enhancement,MF,3GL,3,2002,2715
351,5.5,New_Development,Multi,4GL,?,2000,1118
122,?,Enhancement,?,3GL,?,2002,7991
1279,15,New_Development,?,?,8,1999,3569
141,14.7,New_Development,MF,3GL,1,2000,1600
150,?,Enhancement,Multi,4GL,?,2005,2595
89,?,Enhancement,Multi,4GL,?,2005,1712
141,?,Enhancement,Multi,4GL,?,2005,783
300,11,New_Development,?,3GL,6,1998,889
106,?,Enhancement,?,?,?,2002,1261
64,3.39,Enhancement,?,?,?,2004,347
3,1.28,Enhancement,?,?,?,2004,42
542,8,New_Development,?,?,2,1998,2240
58,?,Enhancement,Multi,3GL,?,2005,1062
194,?,New_Development,MF,3GL,?,1992,273
97,1,Enhancement,?,4GL,?,1999,404
86,?,Enhancement,MF,3GL,?,2002,1102
56,4,Enhancement,MF,3GL,?,2001,980
218,5,Enhancement,?,3GL,6,1999,2250
108,?,Enhancement,?,3GL,?,2004,4461
158,?,Enhancement,?,3GL,?,2002,4140
16,?,Enhancement,?,3GL,?,2004,2114
89,?,Enhancement,?,3GL,?,2002,4884
121,3,Enhancement,?,3GL,4,1999,1293
263,3,Enhancement,?,3GL,3,1998,1311
107,?,Enhancement,?,3GL,?,2002,3160
70,?,Enhancement,MF,3GL,?,2002,1699
476,9,Enhancement,?,?,?,2002,10880
155,3,Enhancement,MF,3GL,7,2002,1974
169,?,Enhancement,?,3GL,?,2004,3705
126,12,Enhancement,Multi,4GL,?,2002,1442
50,?,Enhancement,MF,4GL,?,2002,921
98,17.4,Enhancement,MF,3GL,6,1998,3271
391,17,New_Development,?,3GL,10,2000,3287
70,3,Enhancement,PC,4GL,3,2000,764
84,?,Enhancement,MF,3GL,?,2005,1353
777,7,Enhancement,?,?,5,1999,3024
201,8,Enhancement,MF,3GL,14,2001,3926
1387,2.7,New_Development,Multi,4GL,?,2001,1225
380,?,Enhancement,?,?,?,2002,2676
12,2.89,Enhancement,?,3GL,?,2004,96
62,4,Enhancement,PC,4GL,3,2001,996
525,4,Enhancement,?,?,3,1998,306
64,?,Enhancement,?,3GL,?,2002,620
67,3,Enhancement,MR,3GL,9,2000,1894
29,6,New_Development,PC,3GL,?,2001,395
