Name,Act Effort,Est Effort,Est Dur,EA-RTFP,IMT,IAT,IT,OMT ,OAT ,OT,ER,EA,ERA,UA-RTFP
1,670,691,9.5,27,0,0,0,4,4,8,7,12,19,15
2,912,902,12,21,0,0,0,1,3,4,8,9,17,12
3,218,274,9,59,1,2,3,14,21,35,9,12,21,47
4,595,479,7,10,2,8,10,0,0,0,0,0,0,10
5,267,308,6,10,2,8,10,0,0,0,0,0,0,10
6,344,301,11,13,1,1,2,1,2,3,4,4,8,9
7,229,234,3.4,8,1,5,6,0,0,0,1,1,2,7
8,190,171,2,29,2,10,12,2,2,4,4,9,13,20
9,869,333,5,49,2,2,4,9,18,27,6,12,18,37
10,109,159,5.2,2,1,1,2,0,0,0,0,0,0,2
11,289,238,6,4,3,3,4,0,0,0,0,0,0,4
12,616,373,4.7,6,2,4,6,0,0,0,0,0,0,6
13,557,308,5.2,3,1,2,3,0,0,0,0,0,0,3
14,416,558,29,6,0,0,0,0,0,0,2,4,6,2
15,578,861,23,7,0,0,0,0,0,0,3,4,7,3
16,438,423,5,27,0,0,0,1,2,3,9,15,24,12
