@relation china3AttSelectedAFPTest

@attribute AFP numeric
@attribute Input numeric
@attribute Output numeric
@attribute Enquiry numeric
@attribute File numeric
@attribute Interface numeric
@attribute Added numeric
@attribute Changed numeric
@attribute Deleted numeric
@attribute Resource {1,2,3,4}
@attribute Duration numeric
@attribute DevType {NewDev,Maint}
@attribute AdjFactor numeric
@attribute Effort numeric

@data

1587,774,260,340,128,0,1502,0,0,4,4,NewDev,1.056591,7490
260,9,4,3,193,41,51,138,61,2,17,Maint,1.04,4150
152,25,33,28,42,35,163,0,0,1,9,NewDev,0.932515,668
252,151,28,8,39,0,69,153,4,1,4,Maint,1.115044,3238
292,93,0,194,20,0,0,307,0,1,13,Maint,0.95114,2994
83,63,0,24,0,0,0,87,0,1,4,Maint,0.954023,1333
79,24,0,23,30,0,0,77,0,1,6,Maint,1.025974,1607
97,0,108,7,0,5,120,0,0,2,7,NewDev,0.808333,1158
116,0,23,58,14,20,81,34,0,1,6,Maint,1.008696,1243
52,39,7,0,0,0,0,46,0,1,7,Maint,1.130435,3372
465,209,129,24,83,15,460,0,0,1,9,NewDev,1.01087,10200
67,32,5,16,7,0,25,35,0,1,7,Maint,1.116667,1704
199,0,115,57,0,42,214,0,0,2,7,NewDev,0.929907,2640
176,13,54,54,40,7,168,0,0,1,26,NewDev,1.047619,3348
391,208,26,81,25,0,38,302,0,1,7,Maint,1.15,676
263,65,45,101,42,10,176,87,0,1,3,Maint,1,911
42,12,15,3,7,15,52,0,0,1,6.4,NewDev,0.807692,2496
190,98,20,16,63,5,160,42,0,1,10,Maint,0.940594,1171
245,105,28,18,58,0,19,190,0,1,13,Maint,1.172249,3532
77,28,0,42,0,0,0,70,0,1,1,Maint,1.1,436
355,278,0,73,0,0,0,351,0,1,4,Maint,1.011396,909
3156,2075,525,97,0,0,28,12,2657,1,6,Maint,1.170189,9094
46,0,28,0,25,0,28,25,0,1,6,Maint,0.867925,344
56,14,12,15,7,5,53,0,0,4,3,NewDev,1.056604,296
106,65,4,12,14,0,35,53,7,1,13,Maint,1.115789,3503
71,31,28,9,7,0,31,23,21,1,1,Maint,0.946667,246
306,51,105,0,105,45,306,0,0,2,24,NewDev,1,2082
244,68,78,22,62,14,244,0,0,4,7,NewDev,1,191
98,21,46,3,44,0,114,0,0,1,15,NewDev,0.859649,2974
331,100,44,61,107,0,312,0,0,1,2,NewDev,1.060897,328
101,16,5,39,52,0,112,0,0,1,8,NewDev,0.901786,406
192,9,102,0,10,77,198,0,0,1,8,NewDev,0.969697,1785
60,39,4,0,14,10,39,22,6,2,8,Maint,0.895522,471
180,74,18,33,57,0,153,29,0,2,5,Maint,0.989011,700
118,43,71,7,0,0,38,83,0,1,2,Maint,0.975207,579
73,43,10,4,15,0,6,66,0,1,3,Maint,1.013889,1211
143,63,0,27,45,0,14,121,0,1,4,Maint,1.059259,1139
2190,706,648,236,235,0,1825,0,0,2,19,NewDev,1.2,14520
9,0,10,0,0,0,5,5,0,1,2,Maint,0.9,239
203,21,167,3,10,0,201,0,0,1,5,NewDev,1.00995,1262
162,64,36,9,28,20,157,0,0,1,8,NewDev,1.031847,1754
183,60,21,29,71,0,181,0,0,1,6,NewDev,1.01105,1514
59,36,21,0,0,0,6,51,0,1,8,Maint,1.035088,667
412,198,14,99,91,10,412,0,0,1,20,NewDev,1,5864
348,198,14,33,77,0,10,312,0,1,3,Maint,1.080745,973
2529,554,513,66,703,220,2056,0,0,2,13,NewDev,1.230058,5333
250,28,92,57,0,30,164,43,0,2,8,Maint,1.207729,1775
206,0,199,0,0,5,100,104,0,1,5,Maint,1.009804,204
617,184,136,103,133,0,377,179,0,1,7,Maint,1.109712,3148
173,0,78,10,17,72,177,0,0,1,12,NewDev,0.977401,8716
286,45,156,27,37,0,265,0,0,1,6,NewDev,1.079245,1464
52,13,17,6,10,5,20,16,15,1,2,Maint,1.019608,1358
45,6,28,0,0,25,59,0,0,2,7,NewDev,0.762712,281
104,30,7,48,15,0,0,100,0,1,5,Maint,1.04,2321
465,234,44,104,118,0,431,15,54,1,13,Maint,0.93,4054
2145,862,63,491,518,300,2234,0,0,4,84,NewDev,0.960161,2400
283,20,125,39,91,17,292,0,0,1,13,NewDev,0.969178,5650
