classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
ext::framework::a::importer::Activator ; 1.11258 ; 0.0301612 ; 0.00568177 ; 0.0373952 ; 0.0173512 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 7.60794 ; 0.501074 ; 0.010183 ; 0.176179 ; 6.57449e-4 ; 
org::osgi::framework::ServiceEvent ; 6.44925 ; 0.113243 ; 0.0108567 ; 0.156537 ; 0.00528038 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 3.0823 ; 0.0196326 ; 0.00357232 ; 0.0691437 ; 6.14191e-5 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 9.01949 ; 0.2172 ; 0.0113774 ; 0.206164 ; 4.14905e-4 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 5.09157 ; 0.0549516 ; 0.00754879 ; 0.119792 ; 0.00316005 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 5.94951 ; 0.184141 ; 0.0093872 ; 0.142004 ; 0.00494446 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 5.76365 ; 0.0340833 ; 0.0224321 ; 0.168368 ; 0.068437 ; 
org::osgi::framework::ServicePermission ; 6.44925 ; 0.157973 ; 0.0108567 ; 0.156537 ; 0.00528038 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 1.27192 ; 0.00403564 ; 0.00217381 ; 0.0312557 ; 4.04701e-4 ; 
nativetest::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 4.84372 ; 0.160196 ; 0.0123027 ; 0.130076 ; 0.0170805 ; 
substitutes::x::Kx ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::launcher::Main ; 15.3228 ; 1.77892 ; 0.0759116 ; 0.503466 ; 0.22302 ; 
nativetest::b2::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ; 7.7601 ; 0.231255 ; 0.0191814 ; 0.206167 ; 0.0277314 ; 
org::eclipse::osgi::framework::internal::core::StartLevelEvent ; 3.36934 ; 0.0233368 ; 0.00504088 ; 0.0799243 ; 8.04404e-4 ; 
org::eclipse::equinox::internal::launcher::Constants ; 1.05668 ; 0.0126795 ; 0.00315071 ; 0.030079 ; 0.00408372 ; 
org::eclipse::osgi::tests::appadmin::SimpleApp ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::StatsManager ; 6.79581 ; 0.058801 ; 0.0223176 ; 0.19012 ; 0.056106 ; 
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ; 4.04276 ; 0.0425374 ; 0.00680523 ; 0.0989508 ; 0.0012324 ; 
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ; 4.64163 ; 0.0354026 ; 0.0100626 ; 0.117441 ; 0.0184328 ; 
org::eclipse::osgi::util::TextProcessor ; 6.45548 ; 0.705261 ; 0.0501053 ; 0.243324 ; 0.153757 ; 
org::eclipse::osgi::framework::internal::core::DependentPolicy ; 4.27148 ; 0.0942259 ; 0.00837626 ; 0.108468 ; 0.00348376 ; 
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin ; 1.45568 ; 0.00105933 ; 0.00233034 ; 0.0352055 ; 3.11875e-4 ; 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio ; 5.03827 ; 0.0493392 ; 0.00823914 ; 0.122427 ; 0.00133874 ; 
thread::locktest::Class1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::b::excluded::b::BBExcluded ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::signedcontent::PKCS7DateParser ; 0 ; 0 ; 0 ; 0 ; 0 ; 
chain::test::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ny ; 0 ; 0 ; 0 ; 0 ; 0 ; 
osgi::lazystart::LazySimple ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Ix ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::ResolverExport ; 8.71607 ; 0.108434 ; 0.0156006 ; 0.212541 ; 0.0168249 ; 
org::eclipse::osgi::internal::resolver::StateObjectFactoryImpl ; 16.4888 ; 0.270134 ; 0.0494513 ; 0.45383 ; 0.113984 ; 
org::eclipse::osgi::framework::internal::core::StartLevelManager ; 16.8929 ; 0.722831 ; 0.0554018 ; 0.472266 ; 0.124749 ; 
org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher ; 7.43856 ; 0.102111 ; 0.032853 ; 0.229765 ; 0.0922434 ; 
org::eclipse::osgi::framework::internal::core::Msg ; 10.0342 ; 0.126347 ; 0.033086 ; 0.282877 ; 0.0771027 ; 
org::eclipse::osgi::internal::resolver::BundleDescriptionImpl ; 21.7572 ; 0.427406 ; 0.058311 ; 0.579346 ; 0.123561 ; 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaIo ; 3.20237 ; 0.0530391 ; 0.010063 ; 0.0911809 ; 0.020623 ; 
org::eclipse::osgi::internal::resolver::StateMsg ; 10.6126 ; 0.0751567 ; 0.0403509 ; 0.31044 ; 0.118848 ; 
