classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 6 ; 1 ; 0 ; 6 ; 3 ; 0 ; 0 ; 0 ; 15.0 ; 3.0 ; 9 ; 0 ; 1 ; 0.0 ; 2 ; 14.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 14 ; 1 ; 3 ; 11 ; 300 ; 0 ; 25 ; 0 ; 492.0 ; 25.0 ; 7 ; 17 ; 7 ; 0.0 ; 7 ; 172.0 ; 115.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 4 ; 1 ; 4 ; 0 ; 3 ; 0 ; 6 ; 0 ; 11.0 ; 3.0 ; 15 ; 2 ; 0 ; 0.0 ; 3 ; 3.0 ; 3.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 1 ; 2 ; 1 ; 0 ; 0 ; 0 ; 1 ; 0 ; 4.0 ; 1.0 ; 12 ; 0 ; 0 ; 1.0 ; 1 ; 1.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 7 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 2 ; 1 ; 0 ; 2 ; 1 ; 0 ; 0 ; 0 ; 6.0 ; 2.0 ; 9 ; 0 ; 0 ; 0.0 ; 2 ; 8.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 12 ; 2 ; 3 ; 9 ; 45 ; 0 ; 6 ; 0 ; 153.0 ; 10.0 ; 20 ; 6 ; 1 ; 0.0 ; 4 ; 34.0 ; 39.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 3 ; 2 ; 2 ; 1 ; 1 ; 0 ; 0 ; 2 ; 8.0 ; 2.0 ; 27 ; 0 ; 0 ; 0.0 ; 0 ; 3.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 2 ; 2 ; 1 ; 1 ; 10 ; 0 ; 0 ; 2 ; 13.0 ; 5.0 ; 97 ; 0 ; 0 ; 0.0 ; 5 ; 9.0 ; 4.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 10 ; 1 ; 8 ; 2 ; 36 ; 3 ; 2 ; 0 ; 21.0 ; 9.0 ; 7 ; 1 ; 0 ; 0.0 ; 5 ; 12.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
