classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
org::apache::lucene::search::spans::SpanOrQuery ; 10.4552 ; 0.0654643 ; 0.0459837 ; 0.312237 ; 0.102246 ; 
org::apache::lucene::index::DocumentsWriter ; 13.9297 ; 1.5636 ; 0.121367 ; 3.64623 ; 0.318946 ; 
org::apache::lucene::document::Document ; 9.3931 ; 0.127039 ; 0.0877331 ; 0.400665 ; 0.210511 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 2.46341 ; 0.00545206 ; 0.0399775 ; 0.135853 ; 0.132707 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 16.4641 ; 0.612773 ; 0.0871962 ; 0.542911 ; 0.230256 ; 
org::apache::lucene::search::FieldDoc ; 4.24084 ; 0.00884444 ; 0.0566766 ; 0.217954 ; 0.10808 ; 
org::tartarus::snowball::ext::DanishStemmer ; 1.35264 ; 8.32763e-4 ; 0.0350566 ; 0.101164 ; 0.0995792 ; 
org::apache::lucene::search::SortField ; 6.60956 ; 0.0283922 ; 0.0719954 ; 0.30796 ; 0.153127 ; 
org::apache::lucene::document::AbstractField ; 5.34192 ; 0.126545 ; 0.103812 ; 0.341011 ; 0.279462 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 7.7902 ; 0.171935 ; 0.0220847 ; 0.218167 ; 0.0274878 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 1.17486 ; 9.65682e-4 ; 0.00361796 ; 0.0337529 ; 0.00505055 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 5.50819 ; 0.0336513 ; 0.0687709 ; 0.271872 ; 0.157142 ; 
org::apache::lucene::misc::HighFreqTerms ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::IndexSearcher ; 11.5269 ; 0.350981 ; 0.0842299 ; 3.50814 ; 0.113609 ; 
org::apache::lucene::store::db::DbIndexOutput ; 2.56045 ; 0.00833997 ; 0.00309243 ; 0.0579449 ; 8.74499e-5 ; 
org::apache::lucene::search::highlight::TokenGroup ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::MergeDocIDRemapper ; 0.871061 ; 0.00164027 ; 0.00523142 ; 0.0309637 ; 0.0182075 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask ; 3.28866 ; 0.0163189 ; 0.00774168 ; 0.0876976 ; 0.00527147 ; 
org::apache::lucene::analysis::PorterStemFilter ; 4.2341 ; 0.0216663 ; 0.0385326 ; 0.170244 ; 0.106043 ; 
