classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 17 ; 3 ; 10 ; 7 ; 55 ; 0 ; 2 ; 0 ; 170.0 ; 11.0 ; 44 ; 2 ; 0 ; 0.0 ; 11 ; 59.0 ; 29.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 34 ; 1 ; 9 ; 27 ; 2415 ; 0 ; 60 ; 0 ; 829.0 ; 70.0 ; 9 ; 25 ; 11 ; 19.0 ; 0 ; 263.0 ; 177.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 179 ; 1 ; 174 ; 5 ; 120 ; 0 ; 6 ; 0 ; 138.0 ; 16.0 ; 18 ; 5 ; 0 ; 1.0 ; 16 ; 99.0 ; 46.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 5 ; 1 ; 1 ; 4 ; 3 ; 0 ; 7 ; 0 ; 40.0 ; 3.0 ; 11 ; 7 ; 0 ; 0.0 ; 3 ; 12.0 ; 10.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 5 ; 1 ; 0 ; 5 ; 0 ; 0 ; 0 ; 0 ; 19.0 ; 1.0 ; 10 ; 0 ; 0 ; 0.0 ; 1 ; 7.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 128 ; 1 ; 122 ; 6 ; 465 ; 0 ; 11 ; 0 ; 240.0 ; 31.0 ; 18 ; 3 ; 4 ; 7.0 ; 27 ; 72.0 ; 66.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 1 ; 2 ; 4.0 ; 1.0 ; 19 ; 0 ; 0 ; 1.0 ; 1 ; 1.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 1 ; 2 ; 0 ; 1 ; 21 ; 0 ; 8 ; 6 ; 345.0 ; 7.0 ; 35 ; 8 ; 6 ; 0.0 ; 1 ; 32.0 ; 51.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 6 ; 1 ; 4 ; 2 ; 21 ; 0 ; 18 ; 0 ; 44.0 ; 7.0 ; 18 ; 4 ; 0 ; 1.0 ; 7 ; 20.0 ; 13.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 16 ; 2 ; 13 ; 3 ; 231 ; 3 ; 16 ; 0 ; 182.0 ; 22.0 ; 41 ; 0 ; 0 ; 0.0 ; 20 ; 57.0 ; 60.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
