classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 3.08906 ; 0.00556971 ; 0.156012 ; 9.15957 ; 0.247042 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 8.02984 ; 0.00770449 ; 0.177117 ; 9.31724 ; 0.318043 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 6.56833 ; 0.00303072 ; 0.155929 ; 9.23919 ; 0.221372 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 1.49003 ; 0.00170474 ; 0.0435179 ; 0.121386 ; 0.116244 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 3.17351 ; 0.00112128 ; 0.140881 ; 9.13106 ; 0.180758 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 5.94514 ; 0.0165403 ; 0.153982 ; 9.22122 ; 0.218565 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 1.39346 ; 0.0146329 ; 0.00175047 ; 0.0318345 ; 5.37898e-5 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 17.9092 ; 0.16453 ; 0.237774 ; 9.65395 ; 0.442279 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 4.58293 ; 0.00233645 ; 0.145075 ; 9.17116 ; 0.186189 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 3.39209 ; 0.00213619 ; 0.151673 ; 9.15904 ; 0.235454 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 6.31013 ; 0.00457386 ; 0.1853 ; 9.29392 ; 0.368531 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 2.8654 ; 0.0145069 ; 0.00717923 ; 0.077595 ; 0.00643021 ; 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ; 7.50839 ; 0.0189542 ; 0.173315 ; 9.29668 ; 0.300301 ; 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ; 12.5709 ; 0.0231278 ; 0.223471 ; 9.51024 ; 0.456248 ; 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ; 1.84703 ; 0.00132824 ; 0.136921 ; 9.09329 ; 0.175609 ; 
