classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 16 ; 1 ; 11 ; 5 ; 15 ; 0 ; 0 ; 0 ; 42.0 ; 6.0 ; 9 ; 0 ; 1 ; 0.0 ; 5 ; 18.0 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 7 ; 1 ; 2 ; 5 ; 36 ; 0 ; 11 ; 0 ; 60.0 ; 9.0 ; 0 ; 6 ; 0 ; 0.0 ; 8 ; 29.0 ; 14.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 6 ; 2 ; 6 ; 0 ; 6 ; 0 ; 3 ; 0 ; 13.0 ; 4.0 ; 19 ; 3 ; 0 ; 0.0 ; 3 ; 5.0 ; 4.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 2 ; 2 ; 1 ; 1 ; 6 ; 0 ; 0 ; 0 ; 12.0 ; 4.0 ; 22 ; 0 ; 0 ; 0.0 ; 1 ; 6.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 1 ; 4 ; 1 ; 0 ; 6 ; 0 ; 2 ; 8 ; 12.0 ; 4.0 ; 47 ; 0 ; 0 ; 0.0 ; 2 ; 4.0 ; 5.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 4 ; 3 ; 0 ; 4 ; 91 ; 0 ; 7 ; 0 ; 78.0 ; 14.0 ; 52 ; 7 ; 0 ; 0.0 ; 14 ; 33.0 ; 33.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 2 ; 1 ; 1 ; 1 ; 105 ; 0 ; 7 ; 0 ; 57.0 ; 15.0 ; 9 ; 7 ; 0 ; 0.0 ; 15 ; 17.0 ; 21.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 4 ; 2 ; 2 ; 3 ; 1 ; 0 ; 1 ; 0 ; 16.0 ; 2.0 ; 2 ; 1 ; 0 ; 0.0 ; 2 ; 8.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 10 ; 1 ; 0 ; 10 ; 3 ; 0 ; 3 ; 0 ; 95.0 ; 3.0 ; 0 ; 3 ; 1 ; 0.0 ; 2 ; 56.0 ; 20.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 3 ; 1 ; 3 ; 0 ; 3 ; 0 ; 3 ; 0 ; 10.0 ; 3.0 ; 18 ; 3 ; 0 ; 0.0 ; 3 ; 3.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
