classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 3.71677 ; 0.0116199 ; 0.0160982 ; 0.117977 ; 0.0417074 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 6.41569 ; 0.00243687 ; 0.0163241 ; 0.169334 ; 0.0343568 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 1.76682 ; 5.73661e-4 ; 0.0100966 ; 0.0617154 ; 0.0339284 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 1.76682 ; 6.98369e-4 ; 0.0100966 ; 0.0617154 ; 0.0339284 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 6.01575 ; 0.00555764 ; 0.0177997 ; 0.167057 ; 0.0373325 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 21.9852 ; 0.487638 ; 0.0409818 ; 0.542209 ; 0.0434607 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 58.1518 ; 0.575244 ; 0.287622 ; 5.64663 ; 0.595488 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 7.72196 ; 0.00473706 ; 0.0177746 ; 0.198359 ; 0.0343746 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 6.4354 ; 0.00661633 ; 0.0172875 ; 0.173563 ; 0.0347422 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 4.51037 ; 0.00871249 ; 0.0197511 ; 0.14367 ; 0.0516451 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 7.63864 ; 0.0174392 ; 0.0239307 ; 0.218025 ; 0.0447282 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 10.3932 ; 0.0289439 ; 0.0341136 ; 0.300803 ; 0.0684971 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 6.12275 ; 0.00547908 ; 0.020705 ; 0.179163 ; 0.04143 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 8.98492 ; 0.0192032 ; 0.0257861 ; 0.249354 ; 0.0451591 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 4.87416 ; 0.0423102 ; 0.013344 ; 0.130918 ; 0.0310698 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 5.85726 ; 0.0236388 ; 0.0247221 ; 0.184515 ; 0.061849 ; 
org::eclipse::ui::internal::views::log::Messages ; 7.94205 ; 0.0098549 ; 0.0457686 ; 0.277405 ; 0.152188 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 22.9998 ; 0.191977 ; 0.0844452 ; 0.660711 ; 0.220466 ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 6.42599 ; 0.00396796 ; 0.0158461 ; 0.168539 ; 0.0313813 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 15.7896 ; 0.212011 ; 0.0445231 ; 0.439259 ; 0.0636045 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 8.96501 ; 0.177304 ; 0.0603233 ; 0.329377 ; 0.209759 ; 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ; 18.6755 ; 0.0320414 ; 0.0389264 ; 0.472019 ; 0.0534281 ; 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ; 21.0216 ; 0.162209 ; 0.0722067 ; 0.604907 ; 0.1722 ; 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ; 5.98814 ; 0.00344743 ; 0.027985 ; 0.189977 ; 0.0871514 ; 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ; 11.1043 ; 0.0350077 ; 0.0294145 ; 0.301086 ; 0.0468669 ; 
org::eclipse::pde::internal::ui::PDEPlugin ; 22.1695 ; 0.127705 ; 0.0650466 ; 0.608177 ; 0.142486 ; 
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ; 14.0182 ; 0.153476 ; 0.0431189 ; 0.396183 ; 0.0851413 ; 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ; 5.32582 ; 0.00301835 ; 0.015453 ; 0.14652 ; 0.0344466 ; 
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ; 3.18664 ; 0.00253204 ; 0.0122967 ; 0.0957854 ; 0.0341758 ; 
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ; 4.68802 ; 0.00595426 ; 0.0163329 ; 0.13759 ; 0.0373153 ; 
org::eclipse::pde::internal::ui::editor::feature::PluginSection ; 16.953 ; 0.107788 ; 0.0361462 ; 0.432626 ; 0.0444842 ; 
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ; 7.10446 ; 0.0319829 ; 0.0198681 ; 0.194702 ; 0.0377208 ; 
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ; 12.8088 ; 0.0266778 ; 0.0340185 ; 0.34727 ; 0.0555389 ; 
org::eclipse::pde::internal::core::plugin::Fragment ; 12.3547 ; 0.0114085 ; 0.0297891 ; 0.324343 ; 0.049381 ; 
org::eclipse::pde::internal::ui::editor::site::SiteEditor ; 17.2555 ; 0.038878 ; 0.0380987 ; 0.44291 ; 0.0543633 ; 
org::eclipse::pde::internal::core::target::TargetObject ; 6.09363 ; 0.00329454 ; 0.0232348 ; 0.185614 ; 0.0518362 ; 
org::eclipse::pde::ui::launcher::MainTab ; 17.0132 ; 0.127028 ; 0.0906105 ; 0.560387 ; 0.227326 ; 
org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant ; 9.16205 ; 0.00559238 ; 0.0224331 ; 0.240619 ; 0.0410128 ; 
org::eclipse::pde::internal::ui::editor::build::JARFileFilter ; 7.83167 ; 0.00405687 ; 0.0182508 ; 0.202284 ; 0.0344576 ; 
org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate ; 1.56044 ; 0.00581974 ; 0.00803114 ; 0.0525856 ; 0.0247077 ; 
org::eclipse::pde::internal::core::text::toc::TocLink ; 3.71677 ; 0.0150895 ; 0.0160982 ; 0.117977 ; 0.0417074 ; 
org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage ; 9.36692 ; 0.00986558 ; 0.0197926 ; 0.235736 ; 0.0344271 ; 
org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader ; 5.36088 ; 0.0112258 ; 0.0176093 ; 0.153661 ; 0.0410516 ; 
org::eclipse::pde::internal::ui::wizards::RenameDialog ; 13.5092 ; 0.0461181 ; 0.039444 ; 0.362505 ; 0.100537 ; 
org::eclipse::pde::internal::ui::editor::site::SiteInputContext ; 8.39741 ; 0.005304 ; 0.0196272 ; 0.217436 ; 0.0354069 ; 
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation ; 5.70432 ; 0.0031823 ; 0.0167261 ; 0.157991 ; 0.0353891 ; 
org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant ; 5.2122 ; 0.0144765 ; 0.024863 ; 0.169698 ; 0.0746005 ; 
org::eclipse::pde::internal::runtime::MessageHelper ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::plugin::ExtensionContentProvider ; 1.77712 ; 0.00311572 ; 0.00961856 ; 0.0609203 ; 0.0309529 ; 
org::eclipse::pde::internal::ui::editor::target::JRESection ; 12.5528 ; 0.0608909 ; 0.0566341 ; 0.389329 ; 0.148516 ; 
org::eclipse::pde::internal::ui::editor::plugin::RuntimePage ; 17.1566 ; 0.0269107 ; 0.0359634 ; 0.434798 ; 0.0472794 ; 
org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction ; 5.38823 ; 0.01693 ; 0.0191494 ; 0.159697 ; 0.0421158 ; 
org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings ; 8.04434 ; 0.00382388 ; 0.0180291 ; 0.205054 ; 0.0343696 ; 
org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation ; 4.41939 ; 0.0170584 ; 0.0479936 ; 0.197615 ; 0.128048 ; 
org::eclipse::pde::internal::core::text::plugin::PluginAttribute ; 12.3849 ; 0.0642079 ; 0.0339074 ; 0.339617 ; 0.0543606 ; 
