classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 5 ; 5 ; 3 ; 2 ; 21 ; 0 ; 1 ; 28 ; 23.0 ; 7.0 ; 248 ; 1 ; 0 ; 0.0 ; 7 ; 10.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 1 ; 1 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 8.0 ; 2.0 ; 6 ; 0 ; 0 ; 0.0 ; 2 ; 5.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 4 ; 1 ; 1 ; 3 ; 3 ; 0 ; 1 ; 0 ; 28.0 ; 3.0 ; 0 ; 1 ; 0 ; 0.0 ; 3 ; 12.0 ; 9.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 1 ; 1 ; 1 ; 0 ; 6 ; 0 ; 1 ; 0 ; 36.0 ; 4.0 ; 0 ; 1 ; 1 ; 0.0 ; 3 ; 9.0 ; 10.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 4 ; 2 ; 1 ; 3 ; 15 ; 0 ; 1 ; 0 ; 32.0 ; 6.0 ; 18 ; 0 ; 0 ; 0.0 ; 6 ; 17.0 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 3 ; 2 ; 1 ; 2 ; 1 ; 0 ; 2 ; 1 ; 8.0 ; 2.0 ; 5 ; 2 ; 0 ; 0.0 ; 1 ; 4.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 2169 ; 0 ; 0.0 ; 0.0 ; 0 ; 1 ; 0 ; 2168.0 ; 0 ; 0.0 ; 0.0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 3 ; 2 ; 1 ; 2 ; 3 ; 0 ; 3 ; 0 ; 15.0 ; 3.0 ; 8 ; 3 ; 0 ; 0.0 ; 3 ; 8.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 2 ; 3 ; 0 ; 2 ; 6 ; 0 ; 0 ; 5 ; 12.0 ; 4.0 ; 14 ; 0 ; 0 ; 0.0 ; 3 ; 7.0 ; 4.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 3 ; 1 ; 1 ; 2 ; 1 ; 0 ; 2 ; 0 ; 15.0 ; 2.0 ; 6 ; 2 ; 0 ; 0.0 ; 2 ; 7.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 7 ; 2 ; 1 ; 7 ; 120 ; 7 ; 6 ; 3 ; 158.0 ; 16.0 ; 20 ; 6 ; 3 ; 0.0 ; 9 ; 60.0 ; 36.0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 11 ; 2 ; 1 ; 10 ; 55 ; 0 ; 9 ; 5 ; 172.0 ; 11.0 ; 50 ; 7 ; 9 ; 0.0 ; 2 ; 106.0 ; 60.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 5 ; 4 ; 1 ; 4 ; 78 ; 0 ; 2 ; 62 ; 51.0 ; 13.0 ; 55 ; 2 ; 0 ; 0.0 ; 8 ; 24.0 ; 16.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 13 ; 3 ; 1 ; 12 ; 78 ; 0 ; 5 ; 0 ; 130.0 ; 13.0 ; 21 ; 5 ; 5 ; 0.0 ; 7 ; 61.0 ; 20.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 6 ; 3 ; 1 ; 5 ; 55 ; 0 ; 11 ; 15 ; 210.0 ; 11.0 ; 36 ; 11 ; 2 ; 0.0 ; 9 ; 128.0 ; 76.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 5 ; 2 ; 1 ; 4 ; 1 ; 0 ; 1 ; 6 ; 18.0 ; 2.0 ; 11 ; 0 ; 0 ; 1.0 ; 2 ; 9.0 ; 5.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
