classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 9 ; 2 ; 1 ; 9 ; 15 ; 0 ; 1 ; 8 ; 122.0 ; 6.0 ; 19 ; 0 ; 0 ; 1.0 ; 5 ; 34.0 ; 20.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 2 ; 0 ; 4.0 ; 1.0 ; 8 ; 0 ; 0 ; 2.0 ; 1 ; 1.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 114 ; 1 ; 102 ; 18 ; 190 ; 6 ; 131 ; 249 ; 484.0 ; 20.0 ; 8 ; 0 ; 1 ; 3.0 ; 19 ; 156.0 ; 176.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 5 ; 6 ; 1 ; 4 ; 10 ; 0 ; 0 ; 61 ; 33.0 ; 5.0 ; 207 ; 0 ; 0 ; 0.0 ; 4 ; 18.0 ; 12.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 23 ; 2 ; 1 ; 22 ; 820 ; 0 ; 7 ; 416 ; 673.0 ; 41.0 ; 8 ; 0 ; 2 ; 7.0 ; 1 ; 174.0 ; 115.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 2 ; 1 ; 1 ; 1 ; 1 ; 0 ; 12 ; 0 ; 16.0 ; 2.0 ; 8 ; 0 ; 0 ; 12.0 ; 2 ; 4.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 6 ; 4 ; 2 ; 4 ; 78 ; 0 ; 4 ; 96 ; 87.0 ; 13.0 ; 88 ; 2 ; 0 ; 0.0 ; 3 ; 46.0 ; 23.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 2 ; 1 ; 2 ; 0 ; 1 ; 0 ; 4 ; 0 ; 9.0 ; 2.0 ; 8 ; 0 ; 0 ; 4.0 ; 2 ; 2.0 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 11 ; 3 ; 2 ; 9 ; 105 ; 0 ; 9 ; 119 ; 250.0 ; 15.0 ; 40 ; 0 ; 0 ; 9.0 ; 13 ; 50.0 ; 64.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 4 ; 3 ; 3 ; 1 ; 6 ; 1 ; 3 ; 3 ; 9.0 ; 4.0 ; 17 ; 0 ; 0 ; 1.0 ; 3 ; 5.0 ; 3.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 6 ; 2 ; 3 ; 4 ; 105 ; 0 ; 5 ; 95 ; 95.0 ; 15.0 ; 68 ; 3 ; 0 ; 0.0 ; 6 ; 51.0 ; 25.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 8 ; 2 ; 4 ; 4 ; 15 ; 0 ; 6 ; 0 ; 42.0 ; 6.0 ; 23 ; 6 ; 0 ; 0.0 ; 5 ; 14.0 ; 10.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 5 ; 7 ; 1 ; 4 ; 3 ; 0 ; 0 ; 397 ; 42.0 ; 3.0 ; 124 ; 0 ; 0 ; 0.0 ; 3 ; 22.0 ; 14.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 12 ; 3 ; 4 ; 8 ; 78 ; 0 ; 16 ; 143 ; 387.0 ; 13.0 ; 40 ; 6 ; 0 ; 10.0 ; 10 ; 125.0 ; 93.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
