plugin;packagename;pre;post;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;AnonymousClassDeclaration;ArrayAccess;ArrayCreation;ArrayInitializer;ArrayType;AssertStatement;Assignment;Block;BooleanLiteral;BreakStatement;CastExpression;CatchClause;CharacterLiteral;ClassInstanceCreation;CompilationUnit;ConditionalExpression;ConstructorInvocation;ContinueStatement;DoStatement;EmptyStatement;ExpressionStatement;FieldAccess;FieldDeclaration;ForStatement;IfStatement;ImportDeclaration;InfixExpression;Initializer;Javadoc;LabeledStatement;MethodDeclaration;MethodInvocation;NullLiteral;NumberLiteral;PackageDeclaration;ParenthesizedExpression;PostfixExpression;PrefixExpression;PrimitiveType;QualifiedName;ReturnStatement;SimpleName;SimpleType;SingleVariableDeclaration;StringLiteral;SuperConstructorInvocation;SuperFieldAccess;SuperMethodInvocation;SwitchCase;SwitchStatement;SynchronizedStatement;ThisExpression;ThrowStatement;TryStatement;TypeDeclaration;TypeDeclarationStatement;TypeLiteral;VariableDeclarationExpression;VariableDeclarationFragment;VariableDeclarationStatement;WhileStatement;InstanceofExpression;LineComment;BlockComment;TagElement;TextElement;MemberRef;MethodRef;MethodRefParameter;EnhancedForStatement;EnumDeclaration;EnumConstantDeclaration;TypeParameter;ParameterizedType;QualifiedType;WildcardType;NormalAnnotation;MarkerAnnotation;SingleMemberAnnotation;MemberValuePair;AnnotationTypeDeclaration;AnnotationTypeMemberDeclaration;Modifier;SUM;NORM_AnonymousClassDeclaration;NORM_ArrayAccess;NORM_ArrayCreation;NORM_ArrayInitializer;NORM_ArrayType;NORM_AssertStatement;NORM_Assignment;NORM_Block;NORM_BooleanLiteral;NORM_BreakStatement;NORM_CastExpression;NORM_CatchClause;NORM_CharacterLiteral;NORM_ClassInstanceCreation;NORM_CompilationUnit;NORM_ConditionalExpression;NORM_ConstructorInvocation;NORM_ContinueStatement;NORM_DoStatement;NORM_EmptyStatement;NORM_ExpressionStatement;NORM_FieldAccess;NORM_FieldDeclaration;NORM_ForStatement;NORM_IfStatement;NORM_ImportDeclaration;NORM_InfixExpression;NORM_Initializer;NORM_Javadoc;NORM_LabeledStatement;NORM_MethodDeclaration;NORM_MethodInvocation;NORM_NullLiteral;NORM_NumberLiteral;NORM_PackageDeclaration;NORM_ParenthesizedExpression;NORM_PostfixExpression;NORM_PrefixExpression;NORM_PrimitiveType;NORM_QualifiedName;NORM_ReturnStatement;NORM_SimpleName;NORM_SimpleType;NORM_SingleVariableDeclaration;NORM_StringLiteral;NORM_SuperConstructorInvocation;NORM_SuperFieldAccess;NORM_SuperMethodInvocation;NORM_SwitchCase;NORM_SwitchStatement;NORM_SynchronizedStatement;NORM_ThisExpression;NORM_ThrowStatement;NORM_TryStatement;NORM_TypeDeclaration;NORM_TypeDeclarationStatement;NORM_TypeLiteral;NORM_VariableDeclarationExpression;NORM_VariableDeclarationFragment;NORM_VariableDeclarationStatement;NORM_WhileStatement;NORM_InstanceofExpression;NORM_LineComment;NORM_BlockComment;NORM_TagElement;NORM_TextElement;NORM_MemberRef;NORM_MethodRef;NORM_MethodRefParameter;NORM_EnhancedForStatement;NORM_EnumDeclaration;NORM_EnumConstantDeclaration;NORM_TypeParameter;NORM_ParameterizedType;NORM_QualifiedType;NORM_WildcardType;NORM_NormalAnnotation;NORM_MarkerAnnotation;NORM_SingleMemberAnnotation;NORM_MemberValuePair;NORM_AnnotationTypeDeclaration;NORM_AnnotationTypeMemberDeclaration;NORM_Modifier
org.eclipse.jdt.junit;org.eclipse.jdt.internal.junit.launcher;11;2;1.2222222222222223;11.0;11.0;6.818181818181818;39.0;525.0;10.935064935064934;61.0;842.0;1.8571428571428572;6.0;143.0;9.0;1.8;16.0;18.0;0.0;0.0;0.0;7.6;34.0;76.0;1.0;1.0;9.0;0.7;5.0;7.0;0.1;1.0;1.0;1.4025974025974026;5.0;108.0;137.0;546.0;1233.0;2.688311688311688;10.0;207.0;11;13;18;11;50;0;75;222;22;0;23;28;1;82;9;1;0;0;0;0;304;0;25;4;84;180;105;0;41;0;90;526;66;61;9;16;4;8;75;885;70;3386;470;151;112;3;0;7;0;0;0;0;2;25;10;0;9;4;156;127;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;7736;0.001421923474663909;0.0016804550155118925;0.002326783867631851;0.001421923474663909;0.006463288521199586;0.0;0.00969493278179938;0.028697001034126163;0.002843846949327818;0.0;0.0029731127197518098;0.0036194415718717684;1.2926577042399174E-4;0.010599793174767322;0.0011633919338159256;1.2926577042399174E-4;0.0;0.0;0.0;0.0;0.03929679420889348;0.0;0.003231644260599793;5.17063081695967E-4;0.010858324715615306;0.02326783867631851;0.013572905894519132;0.0;0.005299896587383661;0.0;0.011633919338159255;0.06799379524301964;0.008531540847983453;0.007885211995863495;0.0011633919338159256;0.002068252326783868;5.17063081695967E-4;0.001034126163391934;0.00969493278179938;0.11440020682523268;0.00904860392967942;0.43769389865563596;0.06075491209927611;0.019519131334022752;0.014477766287487074;3.8779731127197516E-4;0.0;9.048603929679421E-4;0.0;0.0;0.0;0.0;2.585315408479835E-4;0.003231644260599793;0.0012926577042399173;0.0;0.0011633919338159256;5.17063081695967E-4;0.02016546018614271;0.01641675284384695;0.0;0.0011633919338159256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018872802481902793
org.eclipse.jdt.junit;org.eclipse.jdt.internal.junit.refactoring;0;1;0.0;0.0;0.0;2.5454545454545454;17.0;56.0;4.363636363636363;19.0;96.0;1.2727272727272727;3.0;28.0;5.0;1.4;3.0;7.0;0.0;0.0;0.0;4.4;6.0;22.0;1.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;22.0;38.0;52.0;190.0;1.5454545454545454;5.0;34.0;0;4;1;0;5;0;9;31;2;0;8;1;1;10;5;1;0;0;0;0;21;0;7;3;8;47;8;0;6;0;22;56;6;12;5;1;2;4;10;232;18;610;83;23;5;0;0;0;0;0;0;0;1;1;5;0;0;3;26;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1353;0.0;0.0029563932002956393;7.390983000739098E-4;0.0;0.003695491500369549;0.0;0.0066518847006651885;0.022912047302291204;0.0014781966001478197;0.0;0.005912786400591279;7.390983000739098E-4;7.390983000739098E-4;0.007390983000739098;0.003695491500369549;7.390983000739098E-4;0.0;0.0;0.0;0.0;0.015521064301552107;0.0;0.005173688100517369;0.0022172949002217295;0.005912786400591279;0.03473762010347376;0.005912786400591279;0.0;0.004434589800443459;0.0;0.016260162601626018;0.04138950480413895;0.004434589800443459;0.008869179600886918;0.003695491500369549;7.390983000739098E-4;0.0014781966001478197;0.0029563932002956393;0.007390983000739098;0.1714708056171471;0.013303769401330377;0.450849963045085;0.06134515890613452;0.016999260901699925;0.003695491500369549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.390983000739098E-4;7.390983000739098E-4;0.003695491500369549;0.0;0.0;0.0022172949002217295;0.019216555801921657;0.011825572801182557;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025129342202512936
org.eclipse.jdt.junit;org.eclipse.jdt.internal.junit.ui;23;7;1.4166666666666667;14.0;51.0;4.300438596491228;56.0;1961.0;7.015350877192983;75.0;3199.0;1.4890350877192982;5.0;679.0;36.0;3.0163934426229506;43.0;184.0;0.1111111111111111;1.0;4.0;7.114754098360656;77.0;434.0;0.8888888888888888;1.0;32.0;0.9672131147540983;16.0;59.0;0.36065573770491804;11.0;22.0;0.8903508771929824;7.0;406.0;139.91666666666666;1023.0;5037.0;2.1973684210526314;16.0;1002.0;51;86;44;25;115;0;377;857;111;10;81;53;46;289;36;4;1;5;0;0;1238;9;243;59;391;527;570;0;131;0;513;1988;257;334;36;59;61;64;585;2600;329;12527;1685;494;288;21;0;14;10;2;0;52;5;49;61;0;1;56;795;495;12;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;991;29771;0.0017130764838265426;0.0028887172080212286;0.0014779483389876053;8.397433744247758E-4;0.0038628195223539686;0.0;0.012663330086325619;0.028786402875281315;0.0037284605824460045;3.3589734976991034E-4;0.0027207685331362736;0.0017802559537805247;0.0015451278089415874;0.009707433408350409;0.0012092304591716772;1.3435893990796413E-4;3.358973497699103E-5;1.6794867488495517E-4;0.0;0.0;0.041584091901514894;3.023076147929193E-4;0.008162305599408821;0.001981794363642471;0.013133586376003493;0.017701790332874275;0.019146148936884887;0.0;0.004400255281985825;0.0;0.017231534043196398;0.06677639313425818;0.008632561889086695;0.011218971482315005;0.0012092304591716772;0.001981794363642471;0.002048973833596453;0.002149743038527426;0.019649994961539755;0.08733331094017668;0.011051022807430049;0.42077861005676664;0.056598703436229886;0.01659332907863357;0.009673843673373417;7.053844345168116E-4;0.0;4.7025628967787447E-4;3.3589734976991034E-4;6.717946995398206E-5;0.0;0.0017466662188035337;1.6794867488495517E-4;0.0016458970138725606;0.002048973833596453;0.0;3.358973497699103E-5;0.0018810251587114979;0.02670383930670787;0.016626918813610562;4.030768197238924E-4;9.405125793557489E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03328742736219811
org.eclipse.jdt.junit;org.eclipse.jdt.internal.junit.util;5;1;0.6;4.0;6.0;4.041237113402062;80.0;392.0;6.814432989690721;118.0;661.0;1.597938144329897;7.0;155.0;10.0;1.75;12.0;21.0;0.1;1.0;1.0;4.333333333333333;18.0;52.0;0.9;1.0;9.0;0.25;2.0;3.0;3.75;10.0;45.0;1.443298969072165;7.0;140.0;104.2;241.0;1042.0;2.4536082474226806;32.0;238.0;6;21;13;5;47;0;61;216;22;0;33;2;14;48;10;0;1;0;0;0;220;7;24;21;98;129;101;0;59;0;103;393;42;63;10;22;20;25;129;672;83;2911;379;147;59;1;0;4;0;0;0;1;1;3;12;0;0;21;147;102;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;6725;8.921933085501858E-4;0.0031226765799256505;0.001933085501858736;7.434944237918215E-4;0.006988847583643123;0.0;0.009070631970260224;0.03211895910780669;0.0032713754646840148;0.0;0.004907063197026022;2.9739776951672863E-4;0.0020817843866171005;0.007137546468401487;0.001486988847583643;0.0;1.4869888475836432E-4;0.0;0.0;0.0;0.03271375464684015;0.0010408921933085502;0.0035687732342007433;0.0031226765799256505;0.014572490706319703;0.019182156133828995;0.015018587360594795;0.0;0.008773234200743494;0.0;0.015315985130111525;0.05843866171003718;0.006245353159851301;0.009368029739776951;0.001486988847583643;0.0032713754646840148;0.002973977695167286;0.0037174721189591076;0.019182156133828995;0.09992565055762082;0.012342007434944237;0.4328624535315985;0.056356877323420075;0.021858736059479553;0.008773234200743494;1.4869888475836432E-4;0.0;5.947955390334573E-4;0.0;0.0;0.0;1.4869888475836432E-4;1.4869888475836432E-4;4.460966542750929E-4;0.0017843866171003717;0.0;0.0;0.0031226765799256505;0.021858736059479553;0.01516728624535316;1.4869888475836432E-4;0.0031226765799256505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02899628252788104
org.eclipse.jdt.junit;org.eclipse.jdt.internal.junit.wizards;5;0;1.8;5.0;18.0;6.455089820359281;64.0;1078.0;10.365269461077844;63.0;1731.0;2.0239520958083834;8.0;338.0;10.0;4.5;15.0;63.0;0.1;1.0;1.0;11.071428571428571;37.0;155.0;0.9;1.0;9.0;1.7142857142857142;8.0;24.0;0.8571428571428571;3.0;12.0;0.8203592814371258;4.0;137.0;243.2;748.0;2432.0;2.7604790419161676;12.0;461.0;18;66;34;25;84;0;223;445;85;7;30;27;3;152;10;6;1;1;0;0;697;3;87;30;200;246;249;0;68;1;187;1079;109;195;10;18;38;39;232;1267;116;6174;752;184;195;6;0;8;4;1;0;1;2;25;14;0;0;30;379;261;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357;14499;0.0012414649286157666;0.004552038071591144;0.0023449893096075592;0.001724256845299676;0.005793503000206911;0.0;0.015380371060073108;0.03069177184633423;0.005862473274018898;4.827919166839092E-4;0.002069108214359611;0.00186219739292365;2.069108214359611E-4;0.010483481619422029;6.897027381198703E-4;4.138216428719222E-4;6.897027381198704E-5;6.897027381198704E-5;0.0;0.0;0.04807228084695496;2.069108214359611E-4;0.006000413821642872;0.002069108214359611;0.013794054762397407;0.01696668735774881;0.017173598179184773;0.0;0.0046899786192151184;6.897027381198704E-5;0.012897441202841576;0.07441892544313401;0.007517759845506586;0.013449203393337472;6.897027381198703E-4;0.0012414649286157666;0.002620870404855507;0.0026898406786674944;0.016001103524380993;0.08738533691978757;0.008000551762190496;0.42582247051520794;0.05186564590661425;0.012690530381405614;0.013449203393337472;4.138216428719222E-4;0.0;5.517621904958963E-4;2.7588109524794816E-4;6.897027381198704E-5;0.0;6.897027381198704E-5;1.3794054762397408E-4;0.001724256845299676;9.655838333678184E-4;0.0;0.0;0.002069108214359611;0.026139733774743087;0.018001241464928614;6.897027381198704E-5;0.0011724946548037796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02462238775087937
org.eclipse.jdt.junit;org.eclipse.jdt.junit;1;0;0.0;0.0;0.0;0.4;2.0;4.0;0.6;2.0;6.0;0.2;1.0;2.0;2.0;0.0;0.0;0.0;0.5;1.0;1.0;4.0;8.0;8.0;0.5;1.0;1.0;1.5;3.0;3.0;1.0;2.0;2.0;1.8;5.0;18.0;12.0;14.0;24.0;0.2;1.0;2.0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;3;0;0;1;0;0;15;0;10;4;0;3;2;0;0;0;18;12;0;69;13;18;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009900990099009901;0.0;0.0;0.0;0.0;0.0;0.0;0.009900990099009901;0.0;0.0;0.0;0.0;0.0;0.009900990099009901;0.0;0.01485148514851485;0.0;0.0;0.0049504950495049506;0.0;0.0;0.07425742574257425;0.0;0.04950495049504951;0.019801980198019802;0.0;0.01485148514851485;0.009900990099009901;0.0;0.0;0.0;0.0891089108910891;0.0594059405940594;0.0;0.3415841584158416;0.06435643564356436;0.0891089108910891;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009900990099009901;0.0;0.0;0.0;0.01485148514851485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11386138613861387
org.eclipse.core.runtime.compatibility;org.eclipse.core.boot;0;0;0.0;0.0;0.0;0.49295774647887325;7.0;35.0;1.028169014084507;10.0;73.0;0.3380281690140845;1.0;24.0;3.0;0.0;0.0;0.0;0.6666666666666666;1.0;2.0;8.0;27.0;48.0;0.3333333333333333;1.0;1.0;3.6666666666666665;20.0;22.0;3.8333333333333335;23.0;23.0;0.7605633802816901;7.0;54.0;61.0;120.0;183.0;0.39436619718309857;3.0;28.0;0;0;0;0;23;0;0;24;2;0;2;0;0;6;3;0;0;0;0;0;2;0;22;0;4;11;4;0;99;0;71;35;10;2;3;0;0;0;37;62;22;446;129;54;19;0;0;0;0;0;0;0;4;0;6;0;2;0;30;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;1308;0.0;0.0;0.0;0.0;0.017584097859327217;0.0;0.0;0.01834862385321101;0.0015290519877675841;0.0;0.0015290519877675841;0.0;0.0;0.0045871559633027525;0.0022935779816513763;0.0;0.0;0.0;0.0;0.0;0.0015290519877675841;0.0;0.016819571865443424;0.0;0.0030581039755351682;0.008409785932721712;0.0030581039755351682;0.0;0.07568807339449542;0.0;0.054281345565749234;0.026758409785932722;0.00764525993883792;0.0015290519877675841;0.0022935779816513763;0.0;0.0;0.0;0.028287461773700305;0.047400611620795105;0.016819571865443424;0.3409785932721712;0.09862385321100918;0.04128440366972477;0.01452599388379205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0030581039755351682;0.0;0.0045871559633027525;0.0;0.0015290519877675841;0.0;0.022935779816513763;0.0061162079510703364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12691131498470948
org.eclipse.core.runtime.compatibility;org.eclipse.core.internal.boot;0;0;0.0;0.0;0.0;1.0;2.0;62.0;1.3225806451612903;5.0;82.0;1.0161290322580645;2.0;63.0;4.0;1.0;1.0;4.0;0.0;0.0;0.0;15.5;30.0;62.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6290322580645161;7.0;39.0;58.5;110.0;234.0;1.1129032258064515;2.0;69.0;0;4;2;0;18;0;6;63;4;0;11;0;0;9;4;0;0;0;0;0;18;4;4;2;5;12;3;0;0;0;62;62;2;2;4;11;2;0;39;104;51;528;99;39;0;0;0;0;0;0;0;0;0;0;4;0;0;2;11;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;1270;0.0;0.0031496062992125984;0.0015748031496062992;0.0;0.014173228346456693;0.0;0.004724409448818898;0.049606299212598425;0.0031496062992125984;0.0;0.008661417322834646;0.0;0.0;0.007086614173228346;0.0031496062992125984;0.0;0.0;0.0;0.0;0.0;0.014173228346456693;0.0031496062992125984;0.0031496062992125984;0.0015748031496062992;0.003937007874015748;0.009448818897637795;0.002362204724409449;0.0;0.0;0.0;0.048818897637795275;0.048818897637795275;0.0015748031496062992;0.0015748031496062992;0.0031496062992125984;0.008661417322834646;0.0015748031496062992;0.0;0.030708661417322834;0.08188976377952756;0.04015748031496063;0.415748031496063;0.07795275590551182;0.030708661417322834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031496062992125984;0.0;0.0;0.0015748031496062992;0.008661417322834646;0.003937007874015748;0.0;0.0031496062992125984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05511811023622047
org.eclipse.core.runtime.compatibility;org.eclipse.core.internal.compatibility;1;1;0.0;0.0;0.0;4.666666666666667;11.0;28.0;5.833333333333333;13.0;35.0;1.6666666666666667;2.0;10.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;1.0;4.0;59.0;59.0;59.0;1.6666666666666667;3.0;10.0;0;0;0;0;0;0;4;12;0;0;3;1;0;3;1;0;0;0;0;0;15;2;3;0;3;6;3;0;0;0;6;28;6;1;1;1;0;0;3;34;3;149;21;5;1;1;0;0;0;0;0;2;2;2;1;0;1;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;345;0.0;0.0;0.0;0.0;0.0;0.0;0.011594202898550725;0.034782608695652174;0.0;0.0;0.008695652173913044;0.002898550724637681;0.0;0.008695652173913044;0.002898550724637681;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.005797101449275362;0.008695652173913044;0.0;0.008695652173913044;0.017391304347826087;0.008695652173913044;0.0;0.0;0.0;0.017391304347826087;0.08115942028985507;0.017391304347826087;0.002898550724637681;0.002898550724637681;0.002898550724637681;0.0;0.0;0.008695652173913044;0.09855072463768116;0.008695652173913044;0.4318840579710145;0.06086956521739131;0.014492753623188406;0.002898550724637681;0.002898550724637681;0.0;0.0;0.0;0.0;0.0;0.005797101449275362;0.005797101449275362;0.005797101449275362;0.002898550724637681;0.0;0.002898550724637681;0.0;0.017391304347826087;0.008695652173913044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034782608695652174
org.eclipse.core.runtime.compatibility;org.eclipse.core.internal.model;1;0;0.0;0.0;0.0;7.9393939393939394;70.0;1048.0;11.386363636363637;110.0;1503.0;1.7727272727272727;6.0;234.0;5.0;4.0;7.0;36.0;0.2;1.0;1.0;14.333333333333334;34.0;129.0;0.8;1.0;4.0;8.777777777777779;62.0;79.0;0.3333333333333333;2.0;3.0;1.0833333333333333;5.0;143.0;386.6;957.0;1933.0;4.333333333333333;33.0;572.0;0;58;27;3;91;0;128;344;55;36;105;8;2;78;5;26;1;9;0;0;449;17;115;64;261;28;314;0;8;0;132;1049;185;164;5;70;46;27;219;226;134;4719;703;151;179;2;0;0;38;5;0;19;1;9;9;0;0;62;433;253;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412;11495;0.0;0.005045672031317964;0.00234884732492388;2.609830361026533E-4;0.00791648542844715;0.0;0.011135276207046543;0.02992605480643758;0.004784688995215311;0.00313179643323184;0.009134406263592866;6.959547629404089E-4;1.7398869073510223E-4;0.006785558938668987;4.3497172683775554E-4;0.002261852979556329;8.699434536755111E-5;7.8294910830796E-4;0.0;0.0;0.03906046107003045;0.0014789038712483688;0.010004349717268378;0.005567638103523271;0.02270552414093084;0.002435841670291431;0.02731622444541105;0.0;6.959547629404089E-4;0.0;0.011483253588516746;0.09125706829056111;0.016093953892996955;0.014267072640278381;4.3497172683775554E-4;0.006089604175728578;0.004001739886907351;0.00234884732492388;0.019051761635493693;0.01966072205306655;0.011657242279251849;0.4105263157894737;0.06115702479338843;0.013136146150500218;0.015571987820791649;1.7398869073510223E-4;0.0;0.0;0.003305785123966942;4.3497172683775554E-4;0.0;0.001652892561983471;8.699434536755111E-5;7.8294910830796E-4;7.8294910830796E-4;0.0;0.0;0.005393649412788169;0.03766855154414963;0.02200956937799043;4.3497172683775554E-4;5.219660722053066E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03584167029143106
