release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.8.0-org.apache.hadoop.dfs.AlreadyBeingCreatedException,0,1,1,0,1,2,0,0,1
0.8.0-org.apache.hadoop.dfs.Block,0,16,5,0,29,33,41,15,1
0.8.0-org.apache.hadoop.dfs.BlockCommand,0,11,2,0,14,26,1,9,1
0.8.0-org.apache.hadoop.dfs.browseBlock_jsp,0,2,1,0,3,4,1,1,1
0.8.0-org.apache.hadoop.dfs.browseDirectory_jsp,0,6,0,0,9,61,9,5,2
0.8.0-org.apache.hadoop.dfs.ClientProtocol,0,5,0,0,11,62,8,4,2
0.8.0-org.apache.hadoop.dfs.DataNode,0,87,5,0,89,336,472,45,3
0.8.0-org.apache.hadoop.dfs.DatanodeDescriptor,0,2,1,0,6,32,0,2,4
0.8.0-org.apache.hadoop.dfs.DatanodeID,0,4,1,0,12,79,0,2,5
0.8.0-org.apache.hadoop.dfs.DatanodeInfo,0,13,1,0,14,39,1,3,7
0.8.0-org.apache.hadoop.dfs.DatanodeProtocol,0,25,1,4,36,56,20,21,7
0.8.0-org.apache.hadoop.dfs.DatanodeRegistration,0,7,2,0,9,9,11,6,8
0.8.0-org.apache.hadoop.dfs.DataNodeReport,0,4,2,0,5,7,4,2,8
0.8.0-org.apache.hadoop.dfs.DataStorage,0,7,0,0,10,16,3,6,8
0.8.0-org.apache.hadoop.dfs.DFSck,0,2,1,0,3,4,1,1,9
0.8.0-org.apache.hadoop.dfs.DFSClient,1,74,5,0,53,247,210,52,9
0.8.0-org.apache.hadoop.dfs.DFSFileInfo,0,15,1,0,16,86,0,6,9
0.8.0-org.apache.hadoop.dfs.dfshealth_jsp,0,2,1,0,4,13,0,1,9
0.8.0-org.apache.hadoop.dfs.DfsPath,0,13,1,0,16,37,18,12,9
0.8.0-org.apache.hadoop.dfs.DFSShell,1,2,1,0,3,4,1,1,9
