release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.1.0-org.apache.hadoop.conf.Configurable,0,2,1,0,9,2,1,2,2
0.1.0-org.apache.hadoop.conf.Configuration,0,36,1,1,58,120,562,30,938
0.1.0-org.apache.hadoop.conf.Configured,0,3,1,1,3,4,1,3,17
0.1.0-org.apache.hadoop.dfs.Block,1,17,2,0,24,38,40,14,175
0.1.0-org.apache.hadoop.dfs.BlockCommand,1,13,2,0,12,31,1,10,280
0.1.0-org.apache.hadoop.dfs.ClientProtocol,1,19,1,0,10,19,171,19,19
0.1.0-org.apache.hadoop.dfs.DataNode,1,21,4,0,35,202,53,16,1703
0.1.0-org.apache.hadoop.dfs.DatanodeInfo,0,21,2,0,23,46,66,18,229
0.1.0-org.apache.hadoop.dfs.DatanodeProtocol,1,5,1,0,4,5,10,5,5
0.1.0-org.apache.hadoop.dfs.DataNodeReport,0,7,1,0,2,16,17,7,143
0.1.0-org.apache.hadoop.dfs.DFSClient,1,47,2,0,36,199,54,33,1802
0.1.0-org.apache.hadoop.dfs.DFSFile,0,13,2,0,5,21,66,13,83
0.1.0-org.apache.hadoop.dfs.DFSFileInfo,0,14,2,0,17,38,19,11,149
0.1.0-org.apache.hadoop.dfs.DFSShell,0,16,1,0,7,61,0,9,820
0.1.0-org.apache.hadoop.dfs.DistributedFileSystem,1,37,0,0,14,110,232,32,780
0.1.0-org.apache.hadoop.dfs.FSConstants,1,1,1,0,10,3,0,0,71
0.1.0-org.apache.hadoop.dfs.FSDataset,0,24,2,0,11,75,62,19,705
0.1.0-org.apache.hadoop.dfs.FSDirectory,1,40,2,0,17,150,219,15,1624
0.1.0-org.apache.hadoop.dfs.FSNamesystem,1,59,5,0,24,187,342,40,2867
0.1.0-org.apache.hadoop.dfs.LocatedBlock,0,10,2,0,15,26,1,6,134
0.1.0-org.apache.hadoop.dfs.NameNode,1,32,1,0,17,94,0,29,787
0.1.0-org.apache.hadoop.fs.ChecksumException,0,4,1,0,3,34,6,2,215
0.1.0-org.apache.hadoop.fs.DF,0,3,0,0,8,12,0,2,43
0.1.0-org.apache.hadoop.fs.FileSystem,1,3,4,0,9,10,1,3,31
0.1.0-org.apache.hadoop.fs.FileUtil,0,14,1,0,3,39,53,11,280
0.1.0-org.apache.hadoop.fs.FSDataInputStream,0,61,6,2,77,127,927,53,711
0.1.0-org.apache.hadoop.fs.FSDataOutputStream,0,21,15,0,30,65,15,15,545
0.1.0-org.apache.hadoop.fs.FSError,0,3,4,0,2,6,1,3,40
0.1.0-org.apache.hadoop.fs.FSInputStream,0,3,3,0,2,5,1,3,25
0.1.0-org.apache.hadoop.fs.FSOutputStream,0,4,3,0,5,18,0,3,132
0.1.0-org.apache.hadoop.fs.LocalFileSystem,1,6,7,4,24,9,4,5,16
0.1.0-org.apache.hadoop.fs.Seekable,0,30,0,0,9,83,411,28,624
0.1.0-org.apache.hadoop.io.ArrayFile,0,16,1,0,9,36,0,16,133
0.1.0-org.apache.hadoop.io.ArrayWritable,0,2,0,0,2,6,1,0,16
0.1.0-org.apache.hadoop.io.BooleanWritable,0,7,0,0,12,20,0,7,88
0.1.0-org.apache.hadoop.io.BytesWritable,0,24,2,0,7,45,13,21,299
0.1.0-org.apache.hadoop.io.Closeable,0,2,0,0,2,5,1,2,42
0.1.0-org.apache.hadoop.io.CompressedWritable,0,14,1,0,3,27,0,12,175
0.1.0-org.apache.hadoop.io.DataInputBuffer,0,3,1,0,5,7,1,3,34
0.1.0-org.apache.hadoop.io.DataOutputBuffer,0,16,8,0,9,37,11,12,167
0.1.0-org.apache.hadoop.io.FloatWritable,0,6,5,0,15,12,0,5,43
0.1.0-org.apache.hadoop.io.IntWritable,0,18,4,0,5,32,17,14,173
0.1.0-org.apache.hadoop.io.LongWritable,0,16,1,0,10,31,12,14,158
0.1.0-org.apache.hadoop.io.MapFile,0,17,1,1,17,32,14,15,167
0.1.0-org.apache.hadoop.io.MD5Hash,0,18,2,4,25,95,15,14,927
0.1.0-org.apache.hadoop.io.NullWritable,0,9,1,2,13,39,16,8,225
0.1.0-org.apache.hadoop.io.ObjectWritable,0,23,1,0,6,54,75,20,550
0.1.0-org.apache.hadoop.io.SequenceFile,0,83,9,0,93,307,323,51,2121
