@relation boehm

@attribute size numeric
@attribute effort numeric

@data
1900,9
1980,5.9
2140,7.3
2500,8
3000,73
3700,40
3900,61
4000,43
4400,20
5300,6
5300,14
6200,8
6300,18
6700,57
6900,8
8200,41
9100,38
9400,88
10000,122
10000,15
12000,55
13000,98
13000,82
15000,12
15000,237
16000,33
18000,321
19500,45
20000,218
21000,70
22000,1075
22000,230
23000,36
24000,79
24000,176
25000,130
27000,958
28000,83
28000,50
30000,423
30000,87
32000,106
34000,47
37000,201
38000,523
40000,605
46000,240
48000,387
50000,1063
57000,126
75000,539
90000,453
91000,156
109000,724
113000,2040
132000,243
249000,1600
252000,2455
261000,702
287000,6400
311000,1272
320000,11400
966000,6600
