@relation 'desharnais.csv-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,11,12,6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R8'

@attribute TeamExp numeric
@attribute ManagerExp numeric
@attribute YearEnd numeric
@attribute Transactions numeric
@attribute Entities numeric
@attribute PointsAdjust numeric
@attribute Envergure numeric
@attribute Language {1,2,3}
@attribute Effort numeric

@data
1,4,85,253,52,305,34,1,5152
0,0,86,197,124,321,33,1,5635
4,4,85,40,60,100,18,1,805
0,0,86,200,119,319,30,1,3829
0,0,86,140,94,234,24,1,2149
0,0,86,97,89,186,38,1,2821
2,1,85,119,42,161,25,2,2569
1,2,83,186,52,238,25,1,3913
3,1,85,172,88,260,30,1,7854
3,4,83,78,38,116,24,1,2422
4,1,84,167,99,266,24,1,4067
2,1,84,146,112,258,40,1,9051
1,1,84,33,72,105,19,1,2282
3,4,85,162,61,223,32,1,4172
4,4,85,223,121,344,28,1,4977
3,2,85,119,48,167,26,2,1617
4,3,85,57,43,100,43,1,3192
4,4,86,68,316,384,20,2,3437
3,4,87,9,386,395,21,2,4494
4,2,86,58,34,92,29,1,840
4,4,86,318,269,587,34,2,14973
2,4,85,88,170,258,34,1,5180
2,4,86,306,132,438,37,1,5775
4,1,87,304,78,382,39,1,10577
1,4,86,89,200,289,33,1,3983
4,1,85,86,230,316,33,1,3164
2,0,86,71,235,306,37,1,3542
3,1,85,148,324,472,39,1,4277
4,4,85,116,170,286,27,1,7252
4,1,85,175,277,452,37,1,3948
4,3,86,79,128,207,27,1,3927
1,1,86,145,38,183,27,3,710
4,4,87,174,78,252,41,3,2429
1,1,85,194,91,285,35,1,6405
2,2,88,126,49,175,38,3,651
1,3,86,137,119,256,34,2,9135
2,4,87,289,88,377,28,3,1435
?,?,87,260,144,404,24,1,5922
1,4,88,158,59,217,18,3,847
3,3,88,302,145,447,52,2,8050
1,1,87,451,48,499,28,1,4620
2,4,87,661,132,793,23,3,2352
1,1,88,64,54,118,25,1,2174
?,4,86,284,230,514,50,1,19894
2,1,86,182,126,308,35,1,6699
2,3,87,173,332,505,19,1,14987
2,2,88,252,7,259,28,1,4004
4,3,85,131,180,311,51,1,12824
2,3,85,106,39,145,6,1,2331
3,3,85,96,108,204,29,1,5817
2,3,85,116,72,188,18,1,2989
3,3,85,86,49,135,32,1,3136
2,3,85,221,121,342,35,1,14434
1,1,87,61,96,157,18,1,2583
1,3,86,132,89,221,5,2,3647
3,7,86,45,387,432,16,2,8232
1,1,86,55,112,167,12,2,3276
1,4,87,124,52,176,14,2,2723
3,3,87,120,126,246,15,2,3472
1,2,87,47,32,79,14,2,1575
1,1,86,126,107,233,23,2,2926
3,2,86,101,45,146,15,2,1876
1,1,86,78,99,177,14,1,2520
4,7,86,69,74,143,14,1,1603
1,3,86,194,97,291,35,2,3626
2,?,87,224,110,334,28,2,6783
2,4,87,323,184,507,35,2,11361
1,3,86,42,31,73,27,2,1267
1,2,87,74,43,117,25,2,2548
3,4,87,101,57,158,9,2,1155
0,4,86,97,42,139,6,3,546
2,3,84,134,77,211,13,2,2275
4,5,86,482,227,709,26,2,9100
0,2,84,213,73,286,6,3,595
0,?,84,139,143,282,22,2,3941
2,3,86,473,182,655,40,2,13860
4,4,85,229,169,398,39,3,1400
4,3,83,227,73,300,34,1,2800
4,4,86,395,193,588,40,1,9520
4,3,86,469,176,645,43,3,5880
4,4,85,886,241,1127,34,1,23940
