@relation finnish

@attribute 'ID ' numeric
@attribute 'dev.eff.hrs. ' numeric
@attribute 'hw ' numeric
@attribute 'at ' numeric
@attribute 'FP ' numeric
@attribute 'co ' numeric
@attribute 'prod ' numeric
@attribute lnsize numeric
@attribute 'lneff ' numeric

@data
1,17778,1,1,1364,10,13.033724,7.22,9.785717
2,8800,1,1,648,10,13.580247,6.47,9.082507
3,26670,1,1,1282,10,20.803432,7.16,10.191295
4,1330,1,1,176,10,7.556818,5.17,7.192934
5,14504,1,3,627,10,23.132376,6.44,9.58218
6,8498,1,1,1026,10,8.282651,6.93,9.047586
7,4830,1,5,561,10,8.609626,6.33,8.482602
8,3008,1,1,206,5,14.601942,5.33,8.009031
9,2525,1,1,128,5,19.726562,4.85,7.833996
10,4500,1,1,1814,3,2.480706,7.5,8.411833
11,1455,2,2,609,3,2.389163,6.41,7.282761
12,1230,3,1,321,3,3.831776,5.77,7.114769
13,7537,1,4,355,4,21.230986,5.87,8.92758
14,8710,3,1,1058,4,8.232514,6.96,9.072227
15,796,3,3,65,4,12.246154,4.17,6.679599
16,11023,3,1,374,4,29.473262,5.92,9.307739
17,6030,2,1,1584,2,3.806818,7.37,8.704502
18,1750,1,1,464,2,3.771552,6.14,7.467371
19,2240,1,5,528,2,4.242424,6.27,7.714231
20,1105,1,1,233,2,4.742489,5.45,7.007601
21,2915,1,5,577,2,5.051993,6.36,7.977625
22,2100,1,1,786,8,2.671756,6.67,7.649693
23,2100,1,2,232,8,9.051724,5.45,7.649693
24,580,1,1,235,8,2.468085,5.46,6.363028
25,460,1,5,196,8,2.346939,5.28,6.131226
26,6182,1,3,667,6,9.268366,6.5,8.729397
27,4713,1,3,1035,6,4.553623,6.94,8.45808
28,8700,1,1,1056,6,8.238636,6.96,9.071078
29,8095,1,1,1598,6,5.065707,7.38,8.999002
30,18690,1,4,1619,9,11.544163,7.39,9.835744
31,592,1,3,402,9,1.472637,6,6.383507
32,23000,1,4,1347,7,17.074981,7.21,10.043249
33,17031,1,1,983,7,17.325534,6.89,9.74279
34,17200,1,1,1719,7,10.005817,7.45,9.752665
35,10850,1,4,1148,7,9.45122,7.05,9.29192
36,18900,1,4,1049,7,18.017159,6.96,9.846917
37,14568,1,4,755,7,19.295364,6.63,9.586583
38,780,1,2,189,7,4.126984,5.24,6.659294
