@relation 'kitchenham-weka.filters.unsupervised.attribute.Remove-R1-4,8,10-weka.filters.unsupervised.attribute.Reorder-R1,3,4,2'

@attribute Actual.duration numeric
@attribute Adjusted.function.points numeric
@attribute First.estimate numeric
@attribute Actual.effort numeric

@data
107,101.65,495,485
144,57.12,1365,990
604,1010.88,8244,13635
226,45.6,1595,1576
326,1022.58,3828,3826
294,77.04,879,1079
212,159.6,2895,2224
175,225.54,1800,1698
584,144.72,1160,1173
171,84.42,885,1401
201,126.42,2125,2170
195,392.16,1381,1122
109,18.9,1142,1024
263,112.14,1895,1832
165,210.08,1339,1016
46,260.95,447,322
186,609.7,507,580
189,169.85,952,1003
95,56,380,380
53,30,220,220
365,241.86,2879,2356
438,219.88,1483,1388
109,229.71,1667,1066
283,458.38,2125,2860
137,177.63,1175,1143
102,287.64,2213,1431
103,343.54,2247,1868
192,346.8,1926,2172
219,1121.48,5641,8509
484,761.08,3928,5927
173,464,1995,2663
169,203.01,2281,1425
207,550.14,3305,3504
61,86.45,797,652
311,1362.11,3922,7649
418,681,6809,5927
410,485.1,4955,6607
497,172.96,1294,2591
259,2075.8,5688,4494
234,756.25,5245,4824
462,789.66,3930,5094
291,357,2562,3088
116,62.08,1526,892
128,157.56,1018,750
185,322.62,5646,5646
207,81.34,1532,1532
151,191,1532,1280
99,121.52,314,313
61,222.78,412,339
101,113.52,738,583
462,15.36,763,726
133,320.12,1750,1939
106,84.28,682,669
68,248.88,1320,1413
239,616.32,3573,4115
330,515.07,2913,4009
37,88.2,701,630
187,115.14,725,718
329,63.84,1826,1584
120,1015.98,5000,5816
85,359.64,2640,2037
49,240.84,2534,1428
152,285.12,2231,1252
47,61.2,1000,655
148,287.28,1645,1318
141,172,1067,995
235,144.06,2270,2265
298,108.64,656,654
99,165.36,121,718
127,680.9,1685,2029
163,409.4,2350,1650
316,313.95,2308,2223
388,1136.34,7850,8600
152,177,2004,1884
166,746.24,3715,5359
114,274.92,1273,1159
82,43.5,437,437
123,54.75,813,570
49,130,900,502
183,525.96,2475,1877
149,311.85,799,1693
370,1185.08,2160,3319
128,258.24,1770,1557
126,60,760,557
200,303.52,2588,3050
76,98.9,1148,1113
299,711.9,4064,5456
131,182.4,933,763
140,351.9,2096,2203
169,401.98,3284,3483
130,162.61,4576,2393
389,1210.99,14226,15673
166,156.42,6080,2972
148,603.58,4046,4068
131,73.92,649,698
144,121.55,817,676
369,1234.2,6340,6307
155,35,300,219
102,61.06,315,254
149,162,750,324
548,1285.7,898,874
946,18137.48,79870,113930
186,1020.6,1600,1722
212,377,1702,1660
84,210.45,592,693
250,410,2158,1455
86,279,994,988
102,240,1875,1940
137,230,2527,2408
87,150.29,2606,1737
291,1940.68,12694,12646
392,401,4176,4414
165,267,2240,2480
88,102,980,980
249,403,3720,3189
186,857,2914,2895
63,69,360,322
192,980.95,3700,3555
123,100.8,200,570
123,105.28,578,464
186,158.4,1652,1742
119,219.88,780,896
195,1292.56,8690,8656
210,616.08,3748,3966
180,103.4,710,989
238,74.4,856,585
144,356.31,2436,1860
432,862,4101,5249
392,791.84,5231,5192
205,661.27,2853,1832
49,179,1246,928
205,518.4,2570,2570
145,370,1328,1328
172,839.05,3380,2964
137,243.86,1522,1304
371,557.28,2264,1631
217,485.94,2790,955
308,698.54,1312,286
217,752.64,2210,1432
40,809.25,337,321
253,178.1,865,593
405,81.48,441,302
241,1093.86,2731,2634
156,1002.76,1039,1040
92,551.88,1393,887
