@relation compendium

@attribute Description String
@attribute Category {Bug,Feature,Support}
@attribute Ann1 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann2 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann3 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann4 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann5 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute MostCommon {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}

@data
"Drag drop learning design zip file working However using File menu import learning design file option works time being. Processing drag drop probably interpret xml files confotrming CompendiumLD dtd","Bug","Capability","Usability","Capability","Capability","Capability","Capability"
"Error Launching Compendium install team Error message launching Compendium initial install Java Virtual Machine Launcher Could find main class com.compendium.ProjectCompendium. Program exit. run suggestion forums adding path javaw .bat verified path command prompt successful error. Any tips Regards Eric","Support","Installability","Reliability","Installability","Installability","Installability","Installability"
"Multiple column Arrange map unlinked nodes. Could add arrange option maps unlinked nodes arranges columns within visible screen area maybe number nodes across could defined","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Facility assign node icon sets per map basis","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Spell Checker Add spelling checker Compendium ability switch auto spell checking","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Periodically clicking link allow one add link label Originally reported Simon Buckingham Shum","Bug","Capability","Usability","Capability","Capability","Reliability","Capability"
"Need progress bar inserting large search results map list","Feature","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"little note Mac equivalent right click used connec also appreciate tutorial exercises couple PDF files. May suggest little note Mac equivalent right click used connect icons. need hold option alt key dragging new node one associated with. Maybe everybody knows forgot experiment. Fortunately newer iBook much faster older PowerBook experiments quick easy","Feature","Documentation","Documentation","Usability","Documentation","Documentation","Documentation"
"Put view select nodes get pick list views would save lot navigating know view want copy nodes pick list. Can reuse pick list functionality Find Map List similar","Feature","Requirements","Usability","Usability","Requirements","Requirements","Requirements"
"Can small icons work images also Make small images Right choose small icons shrinks normal Compendium icons reference node images stay really big. Can add option shrink proportionally well","Feature","Requirements","Requirements","Usability","Requirements","Capability","Requirements"
"Text find replace Global search find replace functionality. Maybe coupled existing Search parameters. Ability change text found nodes without open nodes edit label detail","Feature","Requirements","Usability","Usability","Requirements","Requirements","Requirements"
"Label left right center alignment node specific formatting option i.e. conventional alignment options label text already nodes. complement text labels. left alignment multi line node center alignment multi line node right alignment multi line node","Feature","Usability","Usability","Usability","Requirements","Usability","Usability"
"Blank lines newlines labels showing Map Should able blank lines labels display maps sort newline character Right type Label field Enters n't show Label map. They still reopen node look Label field. Classifying Bug effectively ignoring input blank lines shown","Feature","Capability","Requirements","Usability","Usability","Capability","Capability"
"Group nodes purpose Align Group nodes purpose Align able center group nodes another node. Right clumsy try line nodes except straight lines","Feature","Requirements","Usability","Usability","Usability","Requirements","Usability"
"Have node image rollover settings node specific","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Drag Maps projects implies one project open feature request","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Annotation layer way crafting narrative picked later maybe could wysiwyg view report going look like","Feature","Requirements","Usability","Usability","Requirements","Requirements","Requirements"
"Shortcut create lists nodes Originally requested Maarten Sierhuis would necessarily want node wherever cursor located right. also recall person asking for. would agree wanted way quickly create list nodes assume underneath other. would say type node create loc loc cursor checks node node create loc neighborhood. create node else node create loc loc cursor offset large enough something like this. maintain IBIS moment node type node Then maybe. But already linked node short cut btw already forgot tell something complex shortcuts","Feature","Usability","Usability","Usability","Capability","Requirements","Usability"
"Other tree views apart Node would handy would implement kind project tree view nested map nodes would accessible it. would possible make also different kinds trees node types keywords tags least nodes tree would nice have. Best regards Milan","Feature","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"Modification Export dialogs full depth availability Originally request Selvin Export kind map list maps transclusions options say export full depth etc. dimmed since 're applicable","Feature","Usability","Usability","Usability","Usability","Requirements","Usability"
