@relation reviewsExample

@attribute revContent string
@attribute revBug {Y,N}

@data
"Can't see traffic colors now With latest updates I can't see the traffic green/red/yellow - I have to pull over and zoom in the map so that one road fills the entire screen. Traffic checks are (were) the only reason I use google maps!",Y
"Google Map I like it so far, it has not steered me wrong.",N
"Could be 100X better Google should start listening to customers then they'd actually build a proper product.",N
"I like that! Easily more helpful than the map app that comes with your phone.",N
"Just deleted No I don't want to sign in or sign up for anything stop asking",N
"Good Let's keep this simple, it's a good app and very helpful.",N
"Crashes I have been using Google Maps for several years. On my iPhone 6 it crashes every hour or so, forgetting where it is going. It seems to do it right before the app needs to announce new direction information.  Getting it back often requires pulling over or waiting for a red traffic light. \n\nIt still does a lot of good stuff but the crashes have caused problems, especially when I am alone in the vehicle. \n\nMaybe it is time to revisit the Apple Maps.",Y
"Beyond Expectations This app is amazingly accurate. Much better than my GPS and much better at locating points of interest. I live in NYC and use it constantly. Also used it recently in Honolulu, HI and I couldn't get lost even if I tried ??. I'm a fan.",N
"App crashes all the time I really liked this app when I first started using it. The voice is pleasant and it has more roads than the apple map app. However, every time I've used it in the past couple months to drive 1,000 mile trips it crashes multiple times an hour. It's a real pain to be driving and have to re type the address into the app constantly as it crashes so much. Really wish they would fix this problem, because otherwise it's a really good app.",Y
"Much better than Apple maps Much better.",N
"Still new here, but.. So much better than Apple!",N
"It's been better Transit times have been more accurate in the past. I'm not sure if it's the app or just my city's public transit company.",Y
"real crap service im an uber driver in dc and i use to use google maps alot but since the last update i did it has made my life miserable im hating google maps it never shows any route even though i have very good internet service now im using scout or waze or imaps but seriously google maps are the worst worst worst now ?? hate u google",Y
"Dangerous Just up and quit working 3 times this weekend on a trip.  Always failed at a critical turn on the route. Had to stop and re-enter destination all 3 times.\n\niPhone6+",Y
"Great app! My go to maps app.",N
"Great App before , BUT now getibg worse Selecting incorrect Routes \nAnd some time stuck in previous position.\nI hope you fixed this things soon",Y
"Good Nice",N
"Prefect This app has helped me from Los Angeles to Chicago.",N
"Grey app Loads fast and accurate most times, no complaints.",N
"Best GPS I have ever used Stand alone,built in or IPhone related, this is least confusing most up to date in my experience.",N
"New update is garbage Whoever wrote the software for the new update needs to find a new job. I hate to say it but Apple maps is now much much much much much better than Google maps. I happen to be in Idaho and select in Idaho address and next thing I know it thinks I want a buffalo wild wings in Atlanta Georgia. From a list of suggested addresses I chose one and it asked if I meant another one and the only option was to either cancel or select the wrong address. How is someone supposed to navigate when you were only able to find the wrong places. Perhaps this was Google's intention in making people explore the world more. I'm sorry but I don't want to end up in Scotland if I'm trying to find my way to Japan. Whoops sorry you drowned have fun in Scotland oh never mind you sent me to Japan. Six the app Google come on",Y
"Much better than Apple Maps but still buggy I use this app all the time and have for years. Recently I've noticed it's been pretty buggy. It'll sometimes lock on to my position and not let me pan anywhere without it jumping back to my location. It sometimes when zooming in, jumps hundreds of miles east to some random spot in the Atlantic. Search can send you across the world when you search for the name of a restaurant within a couple miles of your location. \nAgain this is probably the best option for maps on iOS but definitely needs improvement.",Y
"Terrific My must-have app. Great for navigation and finding nearby places and their phone numbers, operating hours, etc",N
"Best free option Google's brand is always a great option",N
"Phenomenal Highly accurate for use!",N
"What is going on with this application? The updates seem to be making it worse instead of better. I used to depend solely on this app for GPS when riding my motorcycle but now I'm afraid to follow it. Wrong locations, missed turns... And in Tokyo it's not as easy as just going around the block to find where you are supposed to be",Y
"Awesome! Best map app ever.",N
"It's a ver functional app It is great when you are new to a city and you have an specific address you have to be, very well made",N
"GPS never turns off After update, GPS never turns off. My battery is always dead. Even force closing app doesn't help. Google, please fix! Otherwise, one of the best map apps available. Right now, it's too big of a hassle to go into location services under settings and turn the app on and off each time you want to use it.",Y
"Maps Easy to use you will not get lost.",N
"Excellent app Much better than the Apple Maps app",N
"Google Maps I have Loved this app until a recent update. I have tried to deal with an issue.The blue arrow is not tracking. It goes in the opposite direction. How do I get it to track like usual? Is there something that can be adjusted in the settings. Until then I will use another app. I have tried to contact you guys through customer support. No response.  \n\n3rd review - Addendum 7/2--I finally got my direction arrow to track in the direction I am going and not the opposite. I had to delete the app and then had to reinstall. Will keep track of how it is going. Will continue to post.",Y
"?? Good stuff",N
"Maps Love the convenience of being able to type in 'gas' and google gives the option of a list of gas stations nearby",N
"Why use apple maps??? This app just plain works... The only other GPS service is use is TomTom USA, only when I have not cell signal.",N
"Like I like this app. Good maps for Ukraine",N
"Love the last updates!!! Navigation has gotten so much better since the last couple of updates. It automatically pops up on my screen now to ask me if I want to 'reroute 'if it sees too much traffic. The lane assist feature is really handy too.",N
"Terrible Before the google maps update, this app was pretty good. Since I've upgraded to the newer version of google maps, I've noticed it's not as responsive as it was before. When I'm driving the icon doesn't reflect the pace my car is going, instead it moves laggy. I'm using att's 3G data service in the central New Jersey area. ThNk you",Y
"Lags Google maps lags sooo much now. I have 5c ios 7.1.1 iphone maps is superior. Sorry. You lost me google.",Y
"Handy app!! Great for traveling!!",N
